stat_description_en,stat_description,id,stat_description_full_en,stat_description_full,substat_description_en,substat_description,param_description_en,param_description
Disposed / Treated Amount of Waste A.d. Own BL,Entsorgte/behandelte Abfallmenge a.d. eig. BL,stat_description,NA,NA,NA,NA,NA,NA
Amount of Waste Deposited in Landfills,Abgelagerte Abfallmenge in Deponien,stat_description,NA,NA,NA,NA,NA,NA
Entsorg.u.Behandlungsanl. (O.Sortier.u.Zerlege.),Entsorg.u.Behandlungsanl.(o.Sortier.u.Zerlege.),stat_description,NA,NA,NA,NA,NA,NA
Disposal and Treatment Facilities,Entsorgungs- und Behandlungsanlagen,stat_description,NA,NA,NA,NA,NA,NA
Disposed / Treated Amount of Waste,Entsorgte/behandelte Abfallmenge,stat_description,NA,NA,NA,NA,NA,NA
Delivered Amount of Waste,Abgegebene Abfallmenge,stat_description,NA,NA,NA,NA,NA,NA
Producer of Primarily Verified Quantities of Waste,Erzeuger von primär nachgewiesenen Abfallmengen,stat_description,NA,NA,NA,NA,NA,NA
Delivered Amount of Waste to Disposal Company,Abgegebene Abfallmenge an Entsorger,stat_description,NA,NA,NA,NA,NA,NA
Generation of Household Waste (without Electrical Waste),Aufkommen an Haushaltsabfällen (oh.Elektroaltger.),stat_description,NA,NA,NA,NA,NA,NA
Average Age Total Population,Durchschnittsalter Gesamtbevölkerung,stat_description,NA,NA,NA,NA,NA,NA
Average Age Female Population,Durchschnittsalter weibliche Bevölkerung,stat_description,NA,NA,NA,NA,NA,NA
Average Age Male Population,Durchschnittsalter männliche Bevölkerung,stat_description,NA,NA,NA,NA,NA,NA
Share of Persons with MHG in the Total Population,Anteil Personen mit MHG an der Gesamtbevölkerung,stat_description,NA,NA,NA,NA,NA,NA
Proportion of People with MHG 0 to 19 Years,Anteil Personen mit MHG 0 bis 19 Jahre,stat_description,NA,NA,NA,NA,NA,NA
Proportion of People with MHG 20 to 59 Years,Anteil Personen mit MHG 20 bis 59 Jahre,stat_description,NA,NA,NA,NA,NA,NA
